Wall time,Step,Value
1744629431.2275257,0,0.003549918532371521
1744629554.5363412,1,1.7579681873321533
1744629676.0880077,2,0.0006187777617014945
1744629799.7320755,3,0.0006474084220826626
1744629923.7144504,4,0.0006286296411417425
1744630047.137055,5,0.0006239093490876257
1744630170.314092,6,0.0006766063743270934
1744630295.0233998,7,0.0007179081439971924
1744630419.0813227,8,0.0007484027883037925
1744630542.0321994,9,0.0007667655008845031
1744630664.1827238,10,0.0007763025350868702
1744630786.8355978,11,0.0007772230892442167
1744630910.0432537,12,0.0007754925172775984
1744631032.0067542,13,0.000770683167502284
1744631155.1790242,14,0.0025992158334702253
1744631277.511586,15,0.0023385072126984596
1744631399.8354065,16,0.0007886372623033822
1744631521.2339447,17,0.0022319937124848366
1744631643.906765,18,0.0021891614887863398
1744631766.7549767,19,0.002130646724253893
1744631888.31381,20,0.001586117665283382
1744632009.626973,21,0.0015685069374740124
1744632132.3444417,22,0.0015567535301670432
1744632255.382353,23,0.0015480987494811416
1744632378.432478,24,0.0015445902245119214
1744632501.6053011,25,0.001543344114907086
1744632624.5117457,26,0.0015382851706817746
1744632748.4648113,27,0.0015293508768081665
1744632872.2484553,28,0.0015187545213848352
1744632996.035778,29,0.0015047003980726004
1744633120.059393,30,0.0014904524432495236
1744633242.8693163,31,0.0014810941647738218
1744633365.0086734,32,0.0014649633085355163
1744633488.2103813,33,0.0014549794141203165
1744633610.1755998,34,0.0014440943486988544
1744633733.7014246,35,0.001429576426744461
1744633857.816177,36,0.0014209189685061574
1744633980.7553267,37,0.0014107550960034132
1744634080.0515618,38,0.001401660032570362
1744634194.800323,39,0.0013912691501900554
1744634318.033757,40,0.0011175436666235328
1744634441.8608842,41,0.0011133385123685002
1744634565.802869,42,0.0011100962292402983
1744634689.9595203,43,0.0011084944708272815
1744634812.5561051,44,0.0011088955216109753
1744634936.1094866,45,0.001109670614823699
1744635059.2630134,46,0.0011101760901510715
1744635182.4717007,47,0.0011096455855295062
1744635304.401207,48,0.0011098235845565796
1744635427.8944325,49,0.0011107029858976603
1744635550.1373885,50,0.0011100833071395755
1744635674.2727952,51,0.0011081473203375936
1744635798.655696,52,0.001106394687667489
1744635921.4732702,53,0.0011063485872000456
1744636044.112332,54,0.0011077055241912603
1744636167.3345747,55,0.0011065227445214987
1744636289.404872,56,0.0011036429787054658
1744636413.3628733,57,0.0011019279481843114
1744636536.123652,58,0.001100353430956602
1744636658.2805283,59,0.0011028406443074346
1744636782.2786202,60,0.0009015779360197484
